timestamp,title,dataset_name,column_name,data_type,total_count,null_count,distinct_count,completeness,uniqueness,consistency,is_critical,mean,median,std,min,max
2026-03-03T10:53:14.175952,Sample Data Quality Report,Sample Business Data,id,Integer,1000,0,1000,100.0,100.0,100.0,True,500.5,500.5,288.82,1,1000
2026-03-03T10:53:14.175952,Sample Data Quality Report,Sample Business Data,customer_id,Str,1000,108,892,89.2,89.2,95.0,True,,,,,
2026-03-03T10:53:14.175952,Sample Data Quality Report,Sample Business Data,region,Str,1000,89,4,91.1,0.4,95.0,False,,,,,
2026-03-03T10:53:14.175952,Sample Data Quality Report,Sample Business Data,status,Str,1000,86,3,91.4,0.3,95.0,False,,,,,
2026-03-03T10:53:14.175952,Sample Data Quality Report,Sample Business Data,amount,Decimal,1000,92,907,90.8,90.7,100.0,False,4973.06,4937.65,2874.14,18.67,9989.53
2026-03-03T10:53:14.175952,Sample Data Quality Report,Sample Business Data,notes,Decimal,1000,1000,0,0.0,0.0,0.0,False,,,,,
2026-03-03T10:54:50.374750,Sample Data Quality Report,Sample Business Data,id,Integer,1000,0,1000,100.0,100.0,100.0,True,500.5,500.5,288.82,1,1000
2026-03-03T10:54:50.374750,Sample Data Quality Report,Sample Business Data,customer_id,Str,1000,108,892,89.2,89.2,95.0,True,,,,,
2026-03-03T10:54:50.374750,Sample Data Quality Report,Sample Business Data,region,Str,1000,89,4,91.1,0.4,95.0,False,,,,,
2026-03-03T10:54:50.374750,Sample Data Quality Report,Sample Business Data,status,Str,1000,86,3,91.4,0.3,95.0,False,,,,,
2026-03-03T10:54:50.374750,Sample Data Quality Report,Sample Business Data,amount,Decimal,1000,92,907,90.8,90.7,100.0,False,4973.06,4937.65,2874.14,18.67,9989.53
2026-03-03T10:54:50.374750,Sample Data Quality Report,Sample Business Data,notes,Decimal,1000,1000,0,0.0,0.0,0.0,False,,,,,
2026-03-03T11:20:33.230168,Sample Data Quality Report,Sample Business Data,id,Integer,1000,0,1000,100.0,100.0,100.0,True,500.5,500.5,288.82,1,1000
2026-03-03T11:20:33.230168,Sample Data Quality Report,Sample Business Data,customer_id,Str,1000,108,892,89.2,89.2,95.0,True,,,,,
2026-03-03T11:20:33.230168,Sample Data Quality Report,Sample Business Data,region,Str,1000,89,4,91.1,0.4,95.0,False,,,,,
2026-03-03T11:20:33.230168,Sample Data Quality Report,Sample Business Data,status,Str,1000,86,3,91.4,0.3,95.0,False,,,,,
2026-03-03T11:20:33.230168,Sample Data Quality Report,Sample Business Data,amount,Decimal,1000,92,907,90.8,90.7,100.0,False,4973.06,4937.65,2874.14,18.67,9989.53
2026-03-03T11:20:33.230168,Sample Data Quality Report,Sample Business Data,notes,Decimal,1000,1000,0,0.0,0.0,0.0,False,,,,,
2026-03-03T11:54:20.393781,Sample Data Quality Report,Sample Business Data,id,Integer,1000,0,1000,100.0,100.0,100.0,True,500.5,500.5,288.82,1,1000
2026-03-03T11:54:20.393781,Sample Data Quality Report,Sample Business Data,customer_id,Str,1000,108,892,89.2,89.2,95.0,True,,,,,
2026-03-03T11:54:20.393781,Sample Data Quality Report,Sample Business Data,region,Str,1000,89,4,91.1,0.4,95.0,False,,,,,
2026-03-03T11:54:20.393781,Sample Data Quality Report,Sample Business Data,status,Str,1000,86,3,91.4,0.3,95.0,False,,,,,
2026-03-03T11:54:20.393781,Sample Data Quality Report,Sample Business Data,amount,Decimal,1000,92,907,90.8,90.7,100.0,False,4973.06,4937.65,2874.14,18.67,9989.53
2026-03-03T11:54:20.393781,Sample Data Quality Report,Sample Business Data,notes,Decimal,1000,1000,0,0.0,0.0,0.0,False,,,,,
2026-03-09T06:36:57.473293,Sample Data Quality Report,Sample Business Data,id,Integer,1000,0,1000,100.0,100.0,100.0,True,500.5,500.5,288.82,1,1000
2026-03-09T06:36:57.473293,Sample Data Quality Report,Sample Business Data,customer_id,Str,1000,108,892,89.2,89.2,95.0,True,,,,,
2026-03-09T06:36:57.473293,Sample Data Quality Report,Sample Business Data,region,Str,1000,89,4,91.1,0.4,95.0,False,,,,,
2026-03-09T06:36:57.473293,Sample Data Quality Report,Sample Business Data,status,Str,1000,86,3,91.4,0.3,95.0,False,,,,,
2026-03-09T06:36:57.473293,Sample Data Quality Report,Sample Business Data,amount,Decimal,1000,92,907,90.8,90.7,100.0,False,4973.06,4937.65,2874.14,18.67,9989.53
2026-03-09T06:36:57.473293,Sample Data Quality Report,Sample Business Data,notes,Decimal,1000,1000,0,0.0,0.0,0.0,False,,,,,
2026-03-09T06:58:19.568452,Sample Data Quality Report,Sample Business Data,id,Integer,1000,0,1000,100.0,100.0,100.0,True,500.5,500.5,288.82,1,1000
2026-03-09T06:58:19.568452,Sample Data Quality Report,Sample Business Data,customer_id,Str,1000,108,892,89.2,89.2,95.0,True,,,,,
2026-03-09T06:58:19.568452,Sample Data Quality Report,Sample Business Data,region,Str,1000,89,4,91.1,0.4,95.0,False,,,,,
2026-03-09T06:58:19.568452,Sample Data Quality Report,Sample Business Data,status,Str,1000,86,3,91.4,0.3,95.0,False,,,,,
2026-03-09T06:58:19.568452,Sample Data Quality Report,Sample Business Data,amount,Decimal,1000,92,907,90.8,90.7,100.0,False,4973.06,4937.65,2874.14,18.67,9989.53
2026-03-09T06:58:19.568452,Sample Data Quality Report,Sample Business Data,notes,Decimal,1000,1000,0,0.0,0.0,0.0,False,,,,,
2026-03-10T11:08:10.847295,Sample Data Quality Report,Sample Business Data,id,Integer,1000,0,1000,100.0,100.0,100.0,True,500.5,500.5,288.82,1,1000
2026-03-10T11:08:10.847295,Sample Data Quality Report,Sample Business Data,customer_id,Str,1000,108,892,89.2,89.2,95.0,True,,,,,
2026-03-10T11:08:10.847295,Sample Data Quality Report,Sample Business Data,region,Str,1000,89,4,91.1,0.4,95.0,False,,,,,
2026-03-10T11:08:10.847295,Sample Data Quality Report,Sample Business Data,status,Str,1000,86,3,91.4,0.3,95.0,False,,,,,
